Title,Year,Duration,Ratting,link,,,,,,,,,,
My Father and My Son ,2005,1h 52min,8.3,https://www.imdb.com/title/tt0476735/,,,,,,,,,,
The Hunt ,2012,1h 55min,8.3,https://www.imdb.com/title/tt2106476/,,,,,,,,,,
The Great Dictator ,1940,2h 5min,8.4,https://www.imdb.com/title/tt0032553/,,,,,,,,,,
Incendies ,2010,2h 11min,8.3,https://www.imdb.com/title/tt1255953/,,,,,,,,,,
Sunset Blvd. ,1950,1h 50min,8.4,https://www.imdb.com/title/tt0043014/,,,,,,,,,,
A Separation ,2011,2h 3min,8.3,https://www.imdb.com/title/tt1832382/,,,,,,,,,,
Witness for the Prosecution ,1957,1h 56min,8.4,https://www.imdb.com/title/tt0051201/,,,,,,,,,,
Paths of Glory ,1957,1h 28min,8.4,https://www.imdb.com/title/tt0050825/,,,,,,,,,,
High and Low ,1963,2h 23min,8.4,https://www.imdb.com/title/tt0057565/,,,,,,,,,,
Once Upon a Time in America ,1984,3h 49min,8.4,https://www.imdb.com/title/tt0087843/,,,,,,,,,,
Léon: The Professional ,1994,1h 50min,8.5,https://www.imdb.com/title/tt0110413/,,,,,,,,,,
The Shining ,1980,2h 26min,8.4,https://www.imdb.com/title/tt0081505/,,,,,,,,,,
Apocalypse Now ,1979,2h 27min,8.4,https://www.imdb.com/title/tt0078788/,,,,,,,,,,
American History X ,1998,1h 59min,8.5,https://www.imdb.com/title/tt0120586/,,,,,,,,,,
The Pianist ,2002,2h 30min,8.5,https://www.imdb.com/title/tt0253474/,,,,,,,,,,
Gladiator ,2000,2h 35min,8.5,https://www.imdb.com/title/tt0172495/,,,,,,,,,,
1917,2019,1h 59min,8.3,https://www.imdb.com/title/tt8579674/,,,,,,,,,,
The Prestige ,2006,2h 10min,8.5,https://www.imdb.com/title/tt0482571/,,,,,,,,,,
The Lord of the Rings: The Two Towers ,2002,2h 59min,8.7,https://www.imdb.com/title/tt0167261/,,,,,,,,,,
The Intouchables ,2011,1h 52min,8.5,https://www.imdb.com/title/tt1675434/,,,,,,,,,,
The Departed ,2006,2h 31min,8.5,https://www.imdb.com/title/tt0407887/,,,,,,,,,,
Goodfellas ,1990,2h 26min,8.7,https://www.imdb.com/title/tt0099685/,,,,,,,,,,
The Lord of the Rings: The Fellowship of the Ring ,2001,2h 58min,8.8,https://www.imdb.com/title/tt0120737/,,,,,,,,,,
Forrest Gump ,1994,2h 22min,8.8,https://www.imdb.com/title/tt0109830/,,,,,,,,,,
Fight Club ,1999,2h 19min,8.8,https://www.imdb.com/title/tt0137523/,,,,,,,,,,
12 Angry Men ,1957,1h 36min,8.9,https://www.imdb.com/title/tt0050083/,,,,,,,,,,
Schindler's List ,1993,3h 15min,8.9,https://www.imdb.com/title/tt0108052/,,,,,,,,,,
The Lord of the Rings: The Return of the King ,2003,3h 21min,8.9,https://www.imdb.com/title/tt0167260/,,,,,,,,,,
Pulp Fiction ,1994,2h 34min,8.9,https://www.imdb.com/title/tt0110912/,,,,,,,,,,
The Godfather: Part II ,1974,3h 22min,9,https://www.imdb.com/title/tt0071562/,,,,,,,,,,
The Dark Knight ,2008,2h 32min,9,https://www.imdb.com/title/tt0468569/,,,,,,,,,,
The Godfather ,1972,2h 55min,9.2,https://www.imdb.com/title/tt0068646/,,,,,,,,,,
